age,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,job_n,marital_n,education_n,default_n,housing_n,loan_n,poutcome_n
34,-1.8,92.893,-46.2,1.313,4,0,4,0,1,0,0
34,-1.8,92.893,-46.2,1.281,4,1,4,0,1,0,0
54,-0.1,93.2,-42.0,4.153,6,0,6,0,0,0,0
23,-1.8,92.893,-46.2,1.266,4,1,1,0,0,0,0
31,-0.1,93.2,-42.0,4.021,1,0,1,0,1,0,1
82,-1.8,93.749,-34.6,0.638,0,2,0,0,2,2,0
34,1.4,93.918,-42.7,4.961,6,0,1,0,1,0,0
24,1.4,93.918,-42.7,4.963,2,0,6,0,1,1,0
33,-1.8,93.075,-47.1,1.405,3,1,0,0,0,0,0
45,-0.1,93.2,-42.0,4.021,2,2,1,0,0,1,0
46,-1.8,92.893,-46.2,1.334,1,2,3,0,1,0,1
37,1.1,93.994,-36.4,4.855,4,1,6,0,0,0,0
43,1.4,94.465,-41.8,4.967,2,2,6,0,0,0,0
25,1.1,93.994,-36.4,4.859,0,1,3,0,0,0,0
28,-3.4,92.649,-30.1,0.716,4,1,4,0,1,0,1
33,1.4,93.918,-42.7,4.96,6,0,6,0,1,0,0
52,-0.1,93.2,-42.0,4.153,2,1,3,0,1,0,2
25,-3.4,92.649,-30.1,0.714,2,0,6,0,1,0,0
40,1.4,93.444,-36.1,4.964,4,1,4,0,0,0,0
36,1.1,93.994,-36.4,4.86,1,0,1,0,2,2,0
47,1.4,94.465,-41.8,4.865,1,0,1,0,0,0,0
89,-1.1,94.199,-37.5,0.881,5,2,0,0,1,0,0
36,-2.9,92.201,-31.4,0.849,2,0,6,0,1,1,1
50,-0.1,93.2,-42.0,4.153,2,0,1,0,0,0,0
41,-0.1,93.2,-42.0,4.076,4,0,3,0,1,0,0
45,1.4,93.444,-36.1,4.964,0,0,5,1,1,1,0
31,1.1,93.994,-36.4,4.858,8,0,6,0,0,0,0
22,-3.4,92.431,-26.9,0.742,11,1,1,0,1,0,2
24,-1.8,92.893,-46.2,1.299,1,1,1,0,1,0,0
31,-0.1,93.2,-42.0,4.191,8,0,6,0,1,1,1
57,1.4,93.444,-36.1,4.964,1,0,4,0,1,0,0
58,-1.8,92.893,-46.2,1.313,6,1,6,0,1,0,0
31,1.4,93.444,-36.1,4.963,4,1,4,0,1,0,0
53,1.1,93.994,-36.4,4.86,5,0,0,1,1,0,0
36,-1.8,92.893,-46.2,1.327,1,0,1,0,0,0,0
51,1.4,94.465,-41.8,4.961,3,0,3,1,0,0,0
34,1.4,94.465,-41.8,4.961,1,0,3,0,1,0,0
41,1.4,94.465,-41.8,4.967,3,0,3,1,0,0,0
29,-1.8,92.893,-46.2,1.291,1,0,3,0,0,0,0
85,-1.8,93.749,-34.6,0.642,0,0,0,1,1,0,2
32,-2.9,92.201,-31.4,0.881,4,1,4,0,1,0,1
58,-0.1,93.2,-42.0,4.021,5,0,4,1,0,0,1
43,1.4,93.918,-42.7,4.962,0,0,0,0,1,0,0
31,-0.1,93.2,-42.0,4.021,2,1,1,0,0,0,0
30,-0.1,93.2,-42.0,4.021,2,1,6,0,1,1,0
39,1.1,93.994,-36.4,4.855,6,0,6,0,0,0,0
50,1.1,93.994,-36.4,4.86,3,0,5,1,0,0,0
52,1.1,93.994,-36.4,4.855,4,0,6,0,0,0,0
62,-1.7,94.215,-40.3,0.827,4,0,5,0,2,2,1
56,1.4,94.465,-41.8,4.959,8,0,6,0,0,0,0
36,1.1,93.994,-36.4,4.86,2,1,1,0,1,0,0
30,-0.1,93.2,-42.0,4.153,4,0,4,0,1,0,0
35,-3.4,92.649,-30.1,0.714,6,0,6,0,0,0,1
41,-1.8,92.893,-46.2,1.327,3,0,3,0,1,0,1
53,1.4,93.918,-42.7,4.962,3,0,5,1,2,2,0
50,-0.1,93.2,-42.0,4.245,2,1,3,0,2,2,0
34,-1.8,92.893,-46.2,1.281,1,0,6,0,1,0,1
42,1.1,93.994,-36.4,4.856,7,1,6,0,0,0,0
47,1.4,93.918,-42.7,4.96,3,1,3,0,1,1,0
40,-0.1,93.2,-42.0,4.12,4,0,4,1,0,0,0
30,1.4,94.465,-41.8,4.961,4,0,1,1,0,0,0
65,-1.1,94.601,-49.5,0.965,5,0,0,0,1,0,0
50,-0.1,93.2,-42.0,4.153,2,1,6,0,1,0,1
36,-1.8,92.893,-46.2,1.299,2,1,4,0,1,0,1
47,-0.1,93.2,-42.0,4.191,2,2,4,0,0,0,1
56,1.1,93.994,-36.4,4.857,0,2,0,1,0,0,0
31,1.4,93.444,-36.1,4.964,4,0,4,0,1,0,0
56,1.4,93.918,-42.7,4.968,10,0,0,1,1,1,0
32,1.4,93.918,-42.7,4.963,2,1,6,0,0,0,0
40,1.1,93.994,-36.4,4.858,3,0,3,0,1,1,0
58,1.4,94.465,-41.8,4.864,5,0,0,1,1,0,0
32,1.4,93.918,-42.7,4.957,8,0,6,1,0,0,0
44,1.1,93.994,-36.4,4.856,6,0,6,0,1,0,0
33,1.1,93.994,-36.4,4.86,2,1,6,0,0,0,0
31,-1.8,93.075,-47.1,1.41,2,0,1,0,1,0,0
28,-1.8,92.893,-46.2,1.281,3,1,6,1,0,0,0
32,-1.8,92.893,-46.2,1.266,4,1,6,0,0,0,0
39,1.4,93.918,-42.7,4.96,1,0,3,0,0,1,0
29,-1.8,92.893,-46.2,1.266,3,0,2,0,0,1,0
36,-1.8,92.893,-46.2,1.281,3,0,3,1,0,0,1
33,-1.8,92.893,-46.2,1.25,1,0,1,0,1,0,1
50,1.1,93.994,-36.4,4.86,6,0,6,1,0,0,0
35,1.4,93.918,-42.7,4.96,4,0,4,0,0,1,0
49,1.1,93.994,-36.4,4.856,4,0,1,0,1,0,0
51,-1.8,92.893,-46.2,1.281,3,0,1,0,1,0,1
31,1.4,93.444,-36.1,4.963,2,1,6,1,1,0,0
33,-1.8,92.893,-46.2,1.291,4,1,1,0,0,0,0
36,1.4,93.918,-42.7,4.968,4,1,4,0,0,0,0
60,1.4,93.444,-36.1,4.966,2,0,6,0,0,0,0
31,1.4,93.918,-42.7,4.961,2,0,1,1,1,0,0
31,-0.1,93.2,-42.0,4.021,4,1,6,0,1,1,0
47,1.4,93.918,-42.7,4.957,3,0,3,1,1,0,0
42,-2.9,92.963,-40.8,1.26,6,1,6,0,2,2,0
32,1.4,93.918,-42.7,4.968,4,1,4,0,1,0,0
31,-1.8,93.075,-47.1,1.405,1,2,1,0,0,0,0
34,1.1,93.994,-36.4,4.864,0,2,1,0,0,0,0
30,1.1,93.994,-36.4,4.864,1,1,4,0,1,0,0
38,-1.7,94.055,-39.8,0.715,4,1,1,0,0,0,0
31,-0.1,93.2,-42.0,4.076,7,1,4,0,0,0,1
37,1.1,93.994,-36.4,4.855,0,1,3,1,1,1,0
45,1.4,93.444,-36.1,4.967,3,0,2,1,1,1,0
42,-1.8,93.075,-47.1,1.405,1,0,6,0,1,0,0
54,-0.1,93.2,-42.0,4.076,0,2,6,0,1,1,0
51,1.1,93.994,-36.4,4.857,1,2,4,0,1,0,0
30,1.4,93.918,-42.7,4.963,7,1,6,0,1,1,0
27,-2.9,92.201,-31.4,0.879,7,1,1,0,0,0,2
38,1.4,93.918,-42.7,4.963,4,0,4,0,1,1,0
29,-1.8,93.075,-47.1,1.405,4,1,3,0,2,2,0
29,-0.1,93.2,-42.0,4.021,4,1,4,0,0,0,0
25,-1.8,92.893,-46.2,1.291,4,1,4,0,1,0,0
32,1.4,94.465,-41.8,4.967,4,1,1,0,0,0,0
33,1.1,93.994,-36.4,4.857,4,0,4,0,1,0,0
53,1.1,93.994,-36.4,4.856,3,0,3,1,1,0,0
48,1.1,93.994,-36.4,4.857,4,0,1,0,1,0,0
48,1.4,93.918,-42.7,4.963,1,0,3,0,1,1,0
43,1.4,94.465,-41.8,4.961,1,0,1,0,1,0,0
28,1.4,93.918,-42.7,4.957,4,1,6,0,0,0,0
32,1.4,93.444,-36.1,4.968,4,0,6,0,0,1,0
43,-0.1,93.2,-42.0,4.021,2,1,6,0,1,0,0
43,1.1,93.994,-36.4,4.858,2,0,6,0,0,0,0
31,-1.8,92.893,-46.2,1.291,3,0,3,0,0,0,0
33,-1.1,94.199,-37.5,0.876,4,0,6,0,1,0,1
30,1.1,93.994,-36.4,4.857,3,0,5,0,0,0,0
36,1.4,94.465,-41.8,4.958,2,0,6,0,1,0,0
46,-3.0,92.713,-33.0,0.718,2,0,6,0,2,2,0
54,-1.8,92.843,-50.0,1.56,2,0,6,0,0,0,0
35,1.4,93.918,-42.7,4.96,4,0,3,0,1,0,0
50,1.4,94.465,-41.8,4.864,1,2,0,1,0,0,0
40,1.4,93.918,-42.7,4.963,3,0,0,1,0,0,0
30,1.4,93.918,-42.7,4.961,1,1,1,1,1,0,0
38,1.4,93.444,-36.1,4.963,4,0,4,1,0,1,0
44,1.4,94.465,-41.8,4.959,2,2,1,0,1,1,0
50,1.4,93.918,-42.7,4.962,5,0,4,0,1,0,0
50,1.4,93.444,-36.1,4.963,4,0,4,0,1,1,0
37,-1.8,92.893,-46.2,1.334,3,1,4,0,1,1,0
30,1.1,93.994,-36.4,4.858,4,0,6,1,1,0,0
49,-1.8,92.893,-46.2,1.281,10,0,0,1,1,0,0
30,1.4,94.465,-41.8,4.959,8,1,6,0,0,0,0
30,1.4,94.465,-41.8,4.96,4,1,6,1,1,0,0
29,1.1,93.994,-36.4,4.857,1,0,1,0,1,0,0
50,-0.1,93.2,-42.0,4.153,8,0,6,0,0,0,0
52,-1.8,93.369,-34.8,0.644,4,0,3,0,0,0,0
46,1.1,93.994,-36.4,4.86,8,0,0,1,0,0,0
28,1.4,94.465,-41.8,4.96,1,0,5,0,0,0,0
37,1.4,93.918,-42.7,4.963,2,1,6,0,0,0,0
34,1.4,93.918,-42.7,4.962,3,0,0,0,0,0,0
34,1.1,93.994,-36.4,4.857,6,1,6,0,0,0,0
30,1.4,93.918,-42.7,4.963,3,0,3,0,1,0,0
28,-1.8,93.369,-34.8,0.643,2,1,6,0,1,0,2
53,1.4,93.918,-42.7,4.961,2,2,1,0,0,0,0
38,1.1,93.994,-36.4,4.857,4,0,4,0,0,0,0
58,1.4,93.444,-36.1,4.965,3,0,3,1,0,0,0
25,-1.8,92.893,-46.2,1.299,4,1,6,0,0,1,1
42,-1.8,92.893,-46.2,1.281,3,0,2,0,1,0,0
52,-0.1,93.2,-42.0,4.191,1,0,1,0,0,0,0
39,-3.4,92.379,-29.8,0.803,3,0,3,0,1,0,2
55,1.1,93.994,-36.4,4.857,2,0,1,0,1,1,0
37,-1.8,93.075,-47.1,1.405,1,1,4,0,1,0,1
50,1.4,94.465,-41.8,4.961,6,0,1,1,1,0,0
41,-1.1,94.199,-37.5,0.879,6,2,6,0,0,0,2
46,-1.8,93.075,-47.1,1.445,1,0,1,0,0,0,0
22,1.1,93.994,-36.4,4.857,3,1,3,0,1,0,0
56,-1.8,92.893,-46.2,1.244,5,0,1,0,0,0,0
35,1.4,93.918,-42.7,4.957,3,0,3,0,1,0,0
26,1.4,94.465,-41.8,4.96,2,2,1,0,1,0,0
57,1.4,93.444,-36.1,4.962,5,2,6,1,0,0,0
29,1.1,93.994,-36.4,4.86,2,1,6,0,0,0,0
34,-1.8,92.893,-46.2,1.244,2,0,4,0,1,1,0
23,-1.8,92.893,-46.2,1.266,3,1,0,1,0,1,0
46,-2.9,92.469,-33.6,1.048,2,1,6,0,1,0,0
32,-1.8,92.893,-46.2,1.291,4,1,1,0,1,0,0
39,-0.1,93.798,-40.4,5.0,4,2,6,0,0,1,0
40,1.1,93.994,-36.4,4.859,3,1,3,1,1,0,0
35,1.4,94.465,-41.8,4.865,6,1,6,0,1,0,0
54,-1.8,93.075,-47.1,1.405,4,0,4,1,1,0,0
39,1.1,93.994,-36.4,4.859,7,1,6,0,0,1,0
32,-1.8,93.075,-47.1,1.405,3,0,3,0,0,0,0
41,1.1,93.994,-36.4,4.856,4,2,0,0,1,0,0
42,1.4,93.918,-42.7,4.962,4,0,4,0,1,0,0
27,1.4,93.918,-42.7,4.96,2,1,1,1,0,0,0
28,-1.8,92.893,-46.2,1.354,2,0,6,0,1,0,0
46,1.4,94.465,-41.8,4.959,3,2,2,0,1,1,0
26,1.4,93.918,-42.7,4.961,2,1,6,0,1,0,0
48,1.4,93.444,-36.1,4.963,6,0,6,0,1,1,0
40,-0.1,93.2,-42.0,4.191,10,2,6,0,0,0,0
31,1.4,93.444,-36.1,4.965,2,0,1,0,1,0,0
44,1.1,93.994,-36.4,4.864,2,2,6,1,1,0,0
51,-1.8,92.893,-46.2,1.281,3,0,0,0,0,0,0
31,-2.9,92.201,-31.4,0.879,3,1,6,0,0,0,0
56,-0.1,93.2,-42.0,4.191,1,0,1,0,1,0,0
26,1.1,93.994,-36.4,4.86,3,1,2,0,0,1,0
31,1.4,93.444,-36.1,4.963,1,2,1,0,1,1,0
45,1.4,93.918,-42.7,4.957,9,3,5,0,1,0,0
44,1.4,93.918,-42.7,4.96,0,0,1,1,1,0,0
46,1.4,94.465,-41.8,4.959,10,2,1,0,0,0,0
35,1.4,93.444,-36.1,4.97,4,2,6,0,1,1,0
54,-1.1,94.601,-49.5,0.987,8,0,6,0,1,0,1
26,1.4,93.918,-42.7,4.962,6,1,6,0,1,0,0
36,-1.1,94.199,-37.5,0.876,6,0,6,0,2,2,1
44,-1.8,92.893,-46.2,1.313,1,1,1,0,0,0,1
46,1.4,94.465,-41.8,4.959,4,2,4,1,1,0,0
32,1.4,93.444,-36.1,4.968,7,0,6,0,1,0,0
57,1.1,93.994,-36.4,4.86,6,2,6,0,1,0,0
53,1.1,93.994,-36.4,4.856,4,0,4,1,1,1,0
34,-1.8,92.893,-46.2,1.299,2,3,6,0,1,1,1
45,1.4,93.918,-42.7,4.96,2,2,6,0,0,0,0
28,-1.7,94.215,-40.3,0.876,1,1,1,0,1,0,0
32,-2.9,92.963,-40.8,1.244,1,0,4,0,0,0,0
49,1.4,93.444,-36.1,4.964,2,0,1,0,0,0,0
28,1.1,93.994,-36.4,4.855,2,1,6,0,1,0,0
52,-1.8,92.893,-46.2,1.281,4,2,1,0,0,1,1
63,-2.9,92.201,-31.4,0.838,0,0,0,0,0,0,0
42,1.4,93.444,-36.1,4.968,2,0,6,0,0,0,0
55,-1.8,93.075,-47.1,1.466,5,0,0,0,1,0,0
47,1.1,93.994,-36.4,4.857,3,0,0,0,1,0,0
41,-1.8,92.893,-46.2,1.281,1,0,1,0,1,0,0
25,-1.8,93.075,-47.1,1.365,3,1,3,0,1,0,0
29,-1.8,92.893,-46.2,1.244,2,0,1,0,1,0,1
28,1.4,93.918,-42.7,4.957,3,1,2,1,1,0,0
27,-1.8,92.893,-46.2,1.291,4,1,4,0,0,0,0
57,1.1,93.994,-36.4,4.857,6,0,6,0,1,0,0
59,1.1,93.994,-36.4,4.856,5,0,3,0,1,0,0
22,-1.8,92.893,-46.2,1.25,1,0,1,0,1,0,0
44,1.1,93.994,-36.4,4.857,2,1,3,1,0,0,0
33,-1.8,93.075,-47.1,1.405,3,0,1,0,0,0,0
53,1.1,93.994,-36.4,4.86,5,0,0,0,0,0,0
34,1.4,93.444,-36.1,4.962,2,0,6,1,1,0,0
40,-1.8,93.876,-40.0,0.683,2,1,3,0,1,0,2
50,-0.1,93.2,-42.0,4.076,8,2,6,0,0,0,0
28,1.4,94.465,-41.8,4.959,3,0,3,1,0,1,0
33,-0.1,93.2,-42.0,4.12,4,1,4,0,2,2,0
51,1.4,94.465,-41.8,4.967,3,0,0,0,1,1,0
30,1.1,93.994,-36.4,4.856,9,1,6,0,0,0,0
42,1.1,93.994,-36.4,4.856,3,0,3,1,1,0,0
49,1.1,93.994,-36.4,4.858,8,1,3,0,0,0,0
49,-2.9,92.963,-40.8,1.266,6,0,6,0,1,0,1
49,1.1,93.994,-36.4,4.857,4,0,5,0,1,0,0
46,1.1,93.994,-36.4,4.858,0,0,0,0,0,0,0
78,-1.7,94.215,-40.3,0.84,5,0,5,0,1,0,1
29,-1.8,92.893,-46.2,1.313,3,1,0,0,1,0,0
50,-0.1,93.2,-42.0,4.191,10,0,6,0,0,0,1
67,-2.9,92.201,-31.4,0.834,5,2,6,0,1,0,1
44,-0.1,93.2,-42.0,4.191,7,0,3,0,1,0,0
56,1.4,93.444,-36.1,4.968,5,0,6,0,1,0,0
53,1.4,93.918,-42.7,4.962,7,0,2,1,0,0,0
36,-2.9,92.963,-40.8,1.26,6,1,6,0,1,0,2
47,-1.8,92.893,-46.2,1.266,10,2,1,0,0,0,0
30,1.4,93.444,-36.1,4.964,2,1,6,0,1,0,0
44,1.1,93.994,-36.4,4.857,0,0,1,1,0,0,0
32,-0.1,93.2,-42.0,4.153,2,0,6,0,0,0,0
39,-1.8,92.893,-46.2,1.354,3,0,3,0,0,0,0
31,1.1,93.994,-36.4,4.864,2,1,1,0,1,0,0
44,-1.8,92.893,-46.2,1.313,3,0,3,0,1,0,1
37,1.4,94.465,-41.8,4.961,3,0,3,0,1,0,0
30,-1.8,92.893,-46.2,1.281,3,0,3,1,0,0,1
39,1.4,93.918,-42.7,4.96,8,1,3,1,1,0,0
44,1.1,93.994,-36.4,4.857,2,0,1,0,1,1,0
35,-1.8,92.893,-46.2,1.281,10,0,6,0,1,0,1
48,-1.8,92.843,-50.0,1.51,2,1,6,0,1,0,0
41,1.4,94.465,-41.8,4.959,8,2,6,1,1,0,0
29,1.4,93.918,-42.7,4.962,2,1,3,0,0,0,0
33,1.4,94.465,-41.8,4.96,3,0,3,0,0,0,0
36,1.4,93.444,-36.1,4.964,6,0,6,1,1,1,0
34,-1.8,93.075,-47.1,1.405,3,0,3,0,1,0,1
42,-1.8,92.893,-46.2,1.313,1,0,1,0,1,0,0
25,1.1,93.994,-36.4,4.857,3,0,3,0,1,0,0
28,1.1,93.994,-36.4,4.857,1,0,1,0,1,0,0
51,-0.1,93.2,-42.0,4.021,3,0,3,0,0,0,1
33,1.4,93.444,-36.1,4.964,2,1,6,0,1,1,0
46,1.1,93.994,-36.4,4.858,2,0,4,0,0,0,0
49,1.1,93.994,-36.4,4.857,3,0,1,0,0,0,0
33,1.4,93.444,-36.1,4.965,4,0,4,1,1,0,0
29,-0.1,93.2,-42.0,4.076,2,1,6,0,0,0,0
76,-1.7,94.027,-38.3,0.886,5,2,0,0,0,0,1
45,1.4,94.465,-41.8,4.961,3,0,0,1,0,1,0
54,1.4,93.918,-42.7,4.963,3,0,3,1,1,0,0
33,-0.1,93.2,-42.0,4.191,4,1,6,0,0,0,1
37,-2.9,92.201,-31.4,0.884,4,0,6,0,1,0,2
29,-2.9,92.201,-31.4,0.883,4,1,4,0,1,1,0
33,1.1,93.994,-36.4,4.856,4,0,6,1,1,0,0
49,1.4,94.465,-41.8,4.961,6,0,6,0,0,0,0
45,-3.4,92.431,-26.9,0.733,4,0,4,0,0,0,2
59,-1.8,92.893,-46.2,1.291,1,2,2,0,1,0,0
57,-0.1,93.2,-42.0,4.021,3,0,3,1,1,0,0
32,-1.8,92.893,-46.2,1.313,2,0,1,0,1,0,0
36,-1.8,92.893,-46.2,1.334,4,1,4,1,1,0,0
47,-1.7,94.215,-40.3,0.896,2,0,6,0,1,1,1
31,-1.8,92.893,-46.2,1.25,4,1,5,0,0,1,0
23,-1.8,92.893,-46.2,1.27,11,1,1,0,1,0,1
51,1.1,93.994,-36.4,4.857,2,2,6,0,1,0,0
39,-1.8,92.893,-46.2,1.334,3,1,3,1,1,0,0
45,1.4,93.444,-36.1,4.964,4,1,4,0,1,0,0
36,1.4,93.918,-42.7,4.963,4,0,1,0,0,0,0
25,-1.8,92.893,-46.2,1.244,11,1,1,0,1,0,0
47,1.4,93.444,-36.1,4.965,3,0,1,0,2,2,0
43,1.4,93.918,-42.7,4.968,2,0,5,0,1,0,0
29,1.4,93.918,-42.7,4.957,11,0,6,0,1,0,0
26,1.4,93.918,-42.7,4.961,2,1,6,0,1,0,0
64,-1.8,93.075,-47.1,1.405,5,0,6,0,1,1,0
27,-1.8,92.893,-46.2,1.259,2,1,6,0,1,0,0
52,1.1,93.994,-36.4,4.857,3,0,3,1,1,0,0
54,-1.8,93.876,-40.0,0.685,2,0,4,0,0,0,0
60,1.1,93.994,-36.4,4.857,2,0,5,1,0,1,0
59,1.1,93.994,-36.4,4.858,5,0,0,1,1,0,0
51,1.4,93.444,-36.1,4.966,1,0,1,0,1,0,0
34,-1.8,93.369,-34.8,0.654,2,0,4,0,0,1,1
38,1.1,93.994,-36.4,4.86,2,0,1,0,1,0,0
43,-1.8,92.893,-46.2,1.334,6,0,6,0,0,1,0
48,1.4,93.444,-36.1,4.965,4,0,1,0,0,0,0
57,1.4,93.918,-42.7,4.957,3,0,1,1,1,0,0
39,1.4,94.465,-41.8,4.959,7,0,3,1,1,0,0
41,-1.8,92.893,-46.2,1.299,3,0,2,1,1,0,1
41,1.1,93.994,-36.4,4.856,3,0,0,0,1,0,0
31,-1.8,92.893,-46.2,1.327,4,0,4,0,1,0,0
30,1.4,93.918,-42.7,4.963,7,0,3,0,0,0,0
39,-0.1,93.2,-42.0,4.021,8,0,4,0,0,0,0
53,1.4,93.918,-42.7,4.962,5,2,1,1,1,0,0
45,-0.1,93.2,-42.0,4.076,2,0,5,0,1,1,0
24,-1.8,92.893,-46.2,1.244,3,1,3,0,1,0,0
33,-1.8,92.893,-46.2,1.266,6,0,4,0,0,0,0
36,1.1,93.994,-36.4,4.859,1,1,3,0,1,0,0
39,1.4,93.918,-42.7,4.962,1,2,1,0,0,1,0
40,1.4,93.918,-42.7,4.962,2,1,6,0,1,0,0
44,-1.7,94.215,-40.3,0.861,2,1,1,0,0,1,0
40,1.4,93.444,-36.1,4.962,4,2,4,0,1,0,0
64,-3.0,92.713,-33.0,0.714,0,0,0,0,1,1,0
30,1.1,93.994,-36.4,4.857,4,1,6,0,0,0,0
34,1.1,93.994,-36.4,4.857,2,0,1,0,1,0,0
33,1.4,93.444,-36.1,4.963,7,0,6,0,1,0,0
47,1.4,94.465,-41.8,4.865,0,0,0,0,1,1,0
33,1.4,93.444,-36.1,4.963,4,1,4,0,0,1,0
46,1.4,93.918,-42.7,4.959,1,0,1,0,1,0,0
40,1.4,93.918,-42.7,4.963,8,0,6,0,1,0,0
49,-2.9,92.201,-31.4,0.883,6,2,6,0,1,1,0
53,1.1,93.994,-36.4,4.857,2,1,4,0,0,0,0
53,1.1,93.994,-36.4,4.86,9,0,1,1,0,0,0
39,1.4,93.444,-36.1,4.964,4,0,4,1,1,0,0
35,1.1,93.994,-36.4,4.857,3,0,5,0,1,0,0
23,1.1,93.994,-36.4,4.857,3,0,3,0,0,0,0
24,1.4,93.918,-42.7,4.963,11,1,0,0,0,0,0
46,1.1,93.994,-36.4,4.856,3,0,3,1,0,0,0
41,1.1,93.994,-36.4,4.857,1,0,2,1,1,0,0
49,1.4,94.465,-41.8,4.961,3,0,3,1,0,1,0
33,1.4,94.465,-41.8,4.961,2,1,6,0,1,0,0
36,-0.1,93.2,-42.0,4.12,3,0,2,0,1,0,0
30,1.4,93.918,-42.7,4.968,2,1,6,0,1,0,0
41,1.4,94.465,-41.8,4.866,4,0,2,0,0,0,0
57,1.4,93.444,-36.1,4.964,5,0,0,0,1,0,0
37,-0.1,93.2,-42.0,4.153,4,0,4,0,0,0,1
46,1.4,94.465,-41.8,4.864,4,0,4,1,1,0,0
29,-2.9,92.963,-40.8,1.262,7,1,1,0,0,0,0
24,1.4,93.918,-42.7,4.963,11,1,0,0,1,1,0
24,-2.9,92.201,-31.4,0.873,4,1,4,0,0,0,0
54,1.1,93.994,-36.4,4.857,6,2,6,0,1,0,0
41,1.4,94.465,-41.8,4.864,3,0,0,1,0,0,0
39,1.1,93.994,-36.4,4.856,0,0,3,0,0,0,0
29,-2.9,92.963,-40.8,1.26,1,1,1,0,0,0,2
28,-1.8,92.893,-46.2,1.291,3,0,0,0,0,0,0
51,-0.1,93.2,-42.0,4.12,10,2,6,0,1,0,0
50,1.1,93.994,-36.4,4.855,4,0,4,0,0,0,0
44,1.4,93.444,-36.1,4.966,6,0,3,0,1,0,0
52,-0.1,93.2,-42.0,4.021,2,0,1,0,1,1,2
56,1.4,93.444,-36.1,4.968,5,0,1,1,1,0,0
31,1.1,93.994,-36.4,4.859,6,0,1,0,0,0,0
34,1.1,93.994,-36.4,4.859,3,0,3,0,0,0,0
50,1.4,93.918,-42.7,4.961,3,0,0,1,1,0,0
32,-1.8,93.075,-47.1,1.41,3,0,3,0,0,0,2
42,-0.1,93.2,-42.0,4.12,10,1,6,0,0,0,0
44,1.4,94.465,-41.8,4.961,3,1,0,0,1,0,0
39,1.1,93.994,-36.4,4.858,0,0,6,0,0,0,0
26,-1.8,92.893,-46.2,1.299,3,0,2,0,1,0,0
33,1.4,93.918,-42.7,4.963,4,1,4,0,0,0,0
24,1.1,93.994,-36.4,4.856,1,1,1,0,0,0,0
38,-1.8,92.893,-46.2,1.313,2,0,1,0,1,0,1
39,-1.8,92.893,-46.2,1.344,3,0,3,0,1,0,2
36,1.4,93.444,-36.1,4.967,4,1,4,0,0,0,0
28,1.1,93.994,-36.4,4.859,1,0,5,0,1,0,0
56,-1.8,93.075,-47.1,1.415,3,0,3,1,0,1,0
64,-2.9,92.963,-40.8,1.099,6,0,6,0,0,0,0
37,1.4,94.465,-41.8,4.961,4,1,4,0,0,0,0
31,1.4,93.918,-42.7,4.957,3,1,1,0,0,0,0
43,1.4,94.465,-41.8,4.864,5,0,3,1,0,0,0
29,-1.8,93.075,-47.1,1.41,3,1,2,0,1,1,1
44,1.4,93.444,-36.1,4.965,6,0,3,0,1,0,0
45,1.4,93.918,-42.7,4.962,8,2,6,0,0,1,0
48,1.4,93.444,-36.1,4.968,3,0,0,1,0,1,0
